,,,,,,,,,,,,,,,,,,,LISTING PARTITIONS HMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITRE,AUTEUR,ARRANGEUR,Ref. Classement,Conducteur,Piccolo,Ptte flûte réb,Flûte 1,Flûte 2 ,Hautbois 1 ,Hautbois 2,Basson 1,Basson 2,Petite Clarinette Mib,Clarinette Alto,Clarinette Solo,Clarinette 1 Sib,Clarinette 2 Sib,Clarinette 3 Sib,Clarinette Basse,Sax. Soprano,Sax Alto 1,Sax Alto 2 ,Sax Alto 3 ,Sax Ténor 1 ,Sax Ténor 2,Sax Baryton,Sax Basse,Bugle 1,Bugle 2,Cornet 1,Cornet 2,Cornet 3,Trompette 1,Trompette 2,Trompette 3,Cor fa 1 + Mib,Cor fa 2 + Mib,Cor fa 3 + Mib,Cor fa 4 + Mib,Trombone Ut 1,Trombone Ut 2,Trombone Ut 3,Trombone Ut 4,Trombone Sib 1 clé fa,Trombone Sib2 Clé fa,Trombone Sib3 clé fa,Trombone Sib 4 clé fa,Trombone sib 1 clé sol,TromboneSib2 clé de sol,Trombone Sib 3 clé de sol,Tuba Ut clé de fa,Tuba sib clé de fa,Baryton sib clé de sol,Euphonium Ut clé de fa,Euph 1 Sib clé de fa + sol,Euphonium 2 Sib clé de fa,Basse Sib clé de fa,Basse Sib clé de sol,Contrebasse Sib clé de fa,Contrebasse Sib clé de sol,Contrebasse Mib clé de fa,Contrebasse Mib clé de sol,Contrebasse Ut clé de Fa,Batterie,Percussion 1,Percussion 2,Timbales,Divers,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marche Lorraine,Louis Ganne,,A 027,1,0,0,1,0,1,0,0,,0,,0,6,4,0,0,0,1,0,0,1,0,1,,1,0,0,0,0,1,3,0,1,0,1,2,4,1,6,,0,0,0,,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
Le Mariage Secret,Kelsen,,A 028,1,0,1,6,0,1,0,0,,2,,0,8,4,0,0,1,3,1,1,2,1,1,,2,1,1,2,0,6,0,0,1,0,0,0,2,1,1,,0,0,0,,0,0,0,0,,1,0,0,0,4,0,1,0,1,0,0,1,1,0,0,1tromb Ut 4,
Tricky Trombone,Helyer,,A 029,1,0,1,10,0,1,0,1,,1,,4,9,5,3,0,0,5,0,0,3,0,1,,1,1,3,1,0,2,2,0,2,1,0,0,2,1,1,,1,0,1,,0,0,0,2+2,,2+1,0,0,0,0,0,0,0,2,0,2,1,0,0,1,1tromb Ut 4,
Beer Barrel Polka,L. Delbecq,,A 030,0,0,1,5,0,2,0,0,,2,,0,4,2,0,0,0,1,0,0,0,0,2,,0,0,1,1,0,1,2,0,3,0,0,0,1,0,3,,0,0,0,,0,0,0,0,,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,
Scènes Bohémiennes,Bizet,,A 031,1,0,1,0,7,1,1,1,,1,,1,8,6,0,0,0,4,0,0,3,0,0,,2,0,3,1,0,0,0,0,2,3,0,0,1,1,1,,0,0,0,,0,0,0,0,,1+1,0,0,0,0,0,7,0,1,0,0,2,2,0,2, 1tromb Ut 4,
Mignon (ouverture),Thomas,Goueytes,A 032,1,0,1,2,0,1,1,2,,1,,1,5,3,1,0,1,4,0,0,2,0,1+1,,2,1,0,0,0,3,2,0,2+2,1,0,0,2,1,1,,0,0,0,,0,0,0,0,,1+1,0,0,0,6,0,3,0,0,0,0,1,1,0,0, 1trpete 1Mib+1trpete 2Mib,
Echos d'Espagne,Balay,,A 033,1,0,1,5,0,3,0,1,,2,,1,12,6,0,1,1,2,3,0,2,2,2,,3,0,6,2,0,2,1,0,3,3,0,0,2,2,1,,0,0,0,,0,0,0,0,,2+2,0,0,0,3+2,0,1,0,1,0,0,0,2,0,1,1tromb Ut 4,
Fete provençale (ouverture),Popy,,A 034,1,0,1,11,0,2,0,0,,2,,0,12,9,0,0,2,12,2,2,7,0,4,,4,5,0,0,0,16,4,0,1,1,1,0,4,6,4,,,0,0,,0,0,0,0,,3+1,0,0,0,6,1,3,0,2,0,0,0,1,1,0,1pt Bugle miB +1 bugle 3+ 3trpt solo,
Music of the 4 Winds,Roger Roger,Beldon Leonard,A 035,1,2,0,2,4,1,0,2,,0,,0,3,2,2,2,0,5,2,0,2,0,2,,7,5,4,7,2,0,0,0,3,2,2,2,2,2,3,,1,1,1,,0,0,0,0,,4,0,0,0,1+4,0,0,0,2,0,2+3,3,1,0,1,,
Marche de Rienzi,Wagner,,A 036,2,0,1,8,0,2,0,1,,2,,0,8,5,0,0,2,3,0,0,4,0,2,,5,3,4,4,0,4,2,0,4,5,0,0,2,2,2,,0,0,0,,0,0,0,0,,2+2,0,0,0,3+5,0,2,0,2,0,2,2,2,0,2,1bugle Mib,
